"t [s]","Acceleration a_x [m/s^2]","Acceleration a_y [m/s^2]","Acceleration a_z [m/s^2]"
2.502744390E-1,-8.489336286E-3,1.809695363E-2,-2.896751577E-1
4.526549600E-1,-1.645070983E-1,-1.717514817E-2,-7.942201481E-1
6.550607410E-1,-3.461795667E-1,-5.488493312E-2,-9.489283402E-1
8.574268350E-1,-3.413197587E-1,-8.221382848E-2,-7.462589057E-1
1.059817824E0,-1.101551754E-1,-2.260603781E-1,-2.674779994E-1
1.262199387E0,2.117785710E-1,-2.342907699E-1,3.370144876E-1
1.464574126E0,4.100934703E-1,-6.724940312E-2,1.028425054E0
1.666977720E0,3.439793238E-1,9.681471374E-3,1.590279806E0
1.869370741E0,1.453872076E-1,4.782833341E-2,1.672460794E0
2.071755481E0,5.987272030E-2,1.630190451E-1,1.140766525E0
2.274147668E0,1.151183989E-1,1.449881647E-1,3.475980730E-1
2.476536991E0,2.024952260E-1,-4.312320708E-2,-3.730340469E-1
2.678920168E0,1.484210782E-1,-1.548609327E-1,-9.376059611E-1
2.881301522E0,-3.972544321E-2,-1.818131452E-1,-1.278358721E0
3.083690481E0,-1.778771005E-1,-1.884717611E-1,-1.299061342E0
3.286078085E0,-1.195972489E-1,-6.011547784E-2,-8.746890106E-1
3.488460741E0,1.077763627E-1,1.177779167E-1,-1.688951872E-1
3.690862356E0,2.804652423E-1,1.681510501E-1,5.956216905E-1
3.893248241E0,2.800275058E-1,1.282566982E-1,1.089123194E0
4.095623085E0,1.695034678E-1,7.154627617E-2,1.230214549E0
4.298017512E0,7.762264624E-2,-5.010911059E-2,1.075564623E0
4.500392043E0,8.117152423E-2,-2.118129022E-1,6.379568722E-1
4.702781626E0,1.462027620E-1,-1.948897541E-1,3.483460735E-2
4.905167876E0,1.538152927E-1,-5.997318593E-2,-6.544053598E-1
5.107546210E0,6.775809497E-3,3.156742490E-2,-1.148021833E0
5.309931522E0,-1.430352606E-1,1.072120841E-1,-1.211692406E0
5.512291106E0,-1.482104325E-1,1.593956155E-1,-8.501485368E-1
5.714696626E0,-2.280677237E-3,6.576006514E-2,-3.448222025E-1
5.917096470E0,1.720140271E-1,-7.803128078E-2,1.748688468E-1
6.119465324E0,2.515739813E-1,-1.444389940E-1,6.815340577E-1
6.321846001E0,2.031943856E-1,-1.714996699E-1,1.066208979E0
6.524229491E0,1.079361148E-1,-1.143056136E-1,1.142179838E0
6.726609074E0,6.438290201E-2,3.627457215E-2,7.910012007E-1
6.928995637E0,7.928771507E-2,1.559551762E-1,1.925059760E-1
7.131376470E0,8.827788655E-2,1.521208424E-1,-3.866291366E-1
7.333760533E0,3.785100797E-2,6.444176813E-2,-7.910731929E-1
7.536138710E0,-5.924601671E-2,-3.334185517E-2,-9.696246720E-1
7.738519283E0,-1.196142988E-1,-1.574831231E-1,-9.151518621E-1
7.940905481E0,-6.461604049E-2,-2.224052243E-1,-5.819187593E-1
8.143308345E0,7.827856483E-2,-1.424885880E-1,-9.103002199E-2
8.345667095E0,1.950577759E-1,3.362045419E-3,4.912704782E-1
8.548046835E0,1.884603500E-1,1.122443422E-1,8.946393118E-1
8.750431835E0,1.021361467E-1,1.758545666E-1,9.797427829E-1
8.952815220E0,4.265720088E-2,1.511827584E-1,7.748653976E-1
9.155186470E0,5.972476122E-2,5.261060668E-3,4.008808310E-1
9.357567408E0,9.480627572E-2,-1.301512715E-1,-5.212111880E-2
9.559944387E0,7.149845216E-2,-1.973902209E-1,-5.234339383E-1
9.762346626E0,-2.117308175E-2,-1.872312859E-1,-8.715549460E-1
9.964711574E0,-1.026236604E-1,-6.990746972E-2,-9.261139530E-1
1.016709751E1,-8.974219532E-2,7.540034993E-2,-6.391083780E-1
1.036947824E1,2.815339623E-3,1.532354878E-1,-1.930889705E-1
1.057185960E1,1.048103658E-1,1.320103414E-1,2.358639226E-1
1.077422710E1,1.523355856E-1,5.804972532E-2,5.964214627E-1
1.097660631E1,1.330244483E-1,-5.872415079E-2,8.294185720E-1
1.117898402E1,8.205683638E-2,-1.754166942E-1,8.411619169E-1
1.138136621E1,5.580346177E-2,-1.875876126E-1,5.651091628E-1
1.158376225E1,6.531066429E-2,-7.713990013E-2,1.037586244E-1
1.178612506E1,5.436813541E-2,4.228103561E-2,-3.493541072E-1
1.198850631E1,-8.332880532E-3,1.176205532E-1,-6.699615310E-1
1.219088684E1,-8.068984892E-2,1.352108572E-1,-7.743226232E-1
1.239326736E1,-9.594454416E-2,5.887952956E-2,-6.721234482E-1
1.259564579E1,-2.932260095E-2,-6.159865347E-2,-3.820741446E-1
1.279801866E1,6.871667722E-2,-1.505951841E-1,1.868137935E-2
1.300039819E1,1.356908054E-1,-1.842905381E-1,4.314432231E-1
1.320277559E1,1.266562532E-1,-1.119958022E-1,7.194672765E-1
1.340515725E1,8.532726474E-2,2.115439333E-2,7.785977096E-1
1.360753272E1,4.192852392E-2,1.238426675E-1,5.948332781E-1
1.380993423E1,3.505916130E-2,1.510656425E-1,2.528677568E-1
1.401228944E1,4.290515621E-2,9.007944421E-2,-1.350700216E-1
1.421466803E1,2.280540001E-2,-2.288934116E-2,-4.746407692E-1
1.441704918E1,-3.092098236E-2,-1.321883718E-1,-6.868402871E-1
1.461942423E1,-8.090065747E-2,-1.990902417E-1,-6.945901019E-1
1.482180236E1,-5.255192082E-2,-1.511456096E-1,-4.738178406E-1
1.502416079E1,2.451268638E-2,-2.749717217E-2,-1.109911988E-1
